Classification,Rndrng Prvdr Zip5,Tot Mdcr Pymt Amt
urban,33462,86626674
urban,75039,7071720
urban,48342,13707489
urban,98801,1960746
urban,21014,74926953
urban,60657,22051292
urban,60657,40384012
urban,97222,6517446
rural,28621,7584894
urban,68701,24989369
rural,30417,1465545
urban,79106,65030306
urban,79106,41881169
urban,19973,28370145
urban,34209,50784948
urban,08861,40203516
urban,57201,13121691
urban,19026,13352527
urban,79416,9601159
urban,15212,85704391
urban,30143,14637719
urban,77002,13627496
urban,30474,6976087
urban,33401,27948018
urban,37110,6691780
urban,14513,9091956
urban,54449,57921858
urban,59701,22166059
urban,81401,8582267
urban,70510,5378301
urban,45056,4123155
urban,92252,5788589
urban,37205,136736899
urban,15224,18783340
urban,28001,11251827
urban,12572,18517831
urban,98668,66825027
urban,76022,29199917
rural,28462,18311786
urban,77024,52474029
urban,78704,63248914
urban,75218,13658097
urban,84107,96361233
urban,84107,2422967
urban,22191,32577529
urban,48201,10840580
urban,48201,41062892
urban,48201,37742066
urban,93901,79416812
urban,39773,3818746
urban,20010,232395897
urban,07002,24883901
urban,34285,33326827
rural,35010,4633910
urban,48801,11193523
urban,84341,10967130
urban,84341,940016
urban,72301,1210620
urban,84721,7481333
urban,15213,12375492
urban,15213,180608811
urban,72112,103519
urban,44119,9528948
urban,97124,4315273
urban,10512,17073268
urban,63136,42748238
urban,34695,44819154
urban,70506,11767787
urban,31602,44475647
urban,48109,251947112
urban,31793,23277738
urban,31217,32091867
urban,37772,5626794
urban,12208,128767218
urban,12208,76091056
urban,11212,68375383
urban,46947,6606511
urban,46278,7575278
urban,19013,47101627
urban,04102,130130976
urban,28645,11849648
urban,53546,9520735
urban,70433,28883185
urban,70433,4166057
urban,84078,4692038
urban,83440,3112702
urban,44223,9503023
urban,27330,9905833
urban,34208,55968232
urban,66739,6042149
urban,36701,7938371
urban,75013,10636127
urban,79072,3872299
rural,47274,7195353
rural,76667,2260555
urban,15801,27693189
urban,34652,20451579
urban,30165,49944913
urban,41075,17668323
rural,24592,11647284
rural,67880,1152905
urban,05641,10977969
urban,01915,59310992
urban,71201,37381597
urban,71201,306981
urban,31719,5989210
urban,50702,14342776
urban,93257,19744975
urban,43606,103059978
urban,85741,37746656
urban,28621,7584894
urban,32955,24725027
urban,99508,41358601
urban,99508,52815341
urban,99508,96768950
rural,64730,3311434
urban,78205,115459850
urban,76548,10439549
urban,73601,2438693
urban,38242,7265508
urban,36116,46013581
urban,53901,5178948
urban,20904,92886082
urban,20832,33095589
urban,90262,30092464
urban,28659,6265626
rural,35565,2481803
urban,30308,77652613
urban,61801,11121220
urban,61801,83687260
urban,23505,1564450
urban,19390,6387630
urban,77030,158750796
urban,77030,266895163
urban,77030,121043720
urban,77030,20251652
urban,98272,2586141
urban,37208,6057854
urban,76234,20594090
urban,11542,21500426
urban,32796,16766736
urban,55092,6367438
rural,62450,5308768
urban,33912,92892246
urban,22408,15896875
urban,85212,5811708
urban,18235,4845073
urban,18235,207006
urban,99701,30439903
urban,41017,78262650
urban,91208,26076759
urban,37760,4963661
urban,39183,17420001
rural,56308,11818603
rural,23901,11639204
urban,46902,13822622
urban,60304,17646852
urban,97756,13597111
urban,54601,53522091
urban,54601,20616754
urban,27889,8642066
urban,75069,32120772
urban,19301,53891786
urban,07834,50426571
urban,94531,8791335
urban,97210,34544687
urban,93465,16960902
urban,34758,6734574
urban,18201,16779852
urban,81301,2968409
urban,81301,23536580
urban,28092,16011149
urban,44710,42907393
urban,76043,1191902
rural,81416,4690038
urban,42503,25242373
urban,55407,141466548
urban,75142,2917023
urban,32159,39823820
urban,32570,10027201
urban,33140,68251875
urban,72653,30183590
rural,28328,7335549
urban,95630,29466791
urban,92201,11408908
urban,16335,17001735
urban,99362,25589095
urban,98166,17960610
urban,78539,38770509
urban,78539,54094098
urban,78539,590701
urban,45103,15941128
urban,76310,6176580
rural,37355,2886581
urban,07960,238082694
rural,42754,4747513
urban,87144,7075881
urban,32610,203187789
urban,92501,66610416
rural,43506,6585133
urban,18017,1607316
urban,03833,24666162
urban,48192,40006970
urban,78249,12561202
urban,71463,1641532
urban,48162,16848718
urban,94954,12594468
urban,39581,49633459
urban,73801,7021423
urban,23901,11639204
urban,63028,24551017
urban,35650,952689
urban,33707,12851925
rural,05301,4983763
urban,23226,79915345
urban,97477,85054479
urban,97477,22130088
urban,13440,8746029
urban,48336,42776803
urban,62226,45145659
urban,40962,4341185
urban,52732,11926884
urban,95816,152282847
urban,54904,9253570
urban,30117,29372799
urban,19010,54374355
rural,45601,40737925
urban,31412,22197991
urban,60640,3141698
urban,60640,20067470
urban,35630,38765053
urban,86403,31789796
urban,43140,3515882
urban,76012,27824630
